archive_dir	filename	path	size_bytes	sha256
support_how_unclassified	Spartoi-OMOC_LBP-E(Fitness) v8.1.1-r2.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-E(Fitness) v8.1.1-r2.md	44420	57937efdb8714563310e4d1306dfc8968801186843fe6241451a167a613c29d2
support_how_unclassified	Spartoi-OMOC_MIP_v2.2.0.txt	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_MIP_v2.2.0.txt	79564	9659a65efc0948f74b5afca3bfc8e5e2a46a47e8aceaacf7d4433dd0c9a657e7
support_how_unclassified	Spartoi-OMOC_README_RDM v2.2.0.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_README_RDM v2.2.0.md	41426	026729b07f1a896dcd56d68b0bb6f01c05e53350900eab50c52a2d9dec549d4b
support_how_unclassified	Spartoi-OMOC_SubP1-LITE+MVP Spine_Walking Skeleton Pack v0_v2.1.0-r1.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP Spine_Walking Skeleton Pack v0_v2.1.0-r1.md	58469	9daa9b9e49df208046c3638b7d17ef2294481bff2562d2776db029e099064b47
support_how_unclassified	authority_chain_manifest.json	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/authority_chain_manifest.json	2976	42e50c895e8b82feca8fe85c72506112ce3d1a246be63a20415bed9daf0289a7
wrc_support_how_unclassified	20260307T144505Z_acceptance_report.json	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/20260307T144505Z_acceptance_report.json	5799	5615daddf8f0687009616949e1567d77292c753a9b4c7163427ec1d7239b3cd7
wrc_support_how_unclassified	20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	7535	ff2456a0ab1ab6ee22ad3c369690597cb18500964e4cf9308c922f31c1bc81eb
wrc_support_how_unclassified	20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	4227	94e966870ba94bc52abec28861273b74f50e450a047e2635cc8ae093490009a9
wrc_support_how_unclassified	20260309T115405Z_acceptance_report.json	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/20260309T115405Z_acceptance_report.json	732	c1c8bc99fa2df74aae7aa08fd68f76276b1a14f1a395889f8e33c9c7f574a911
wrc_support_how_unclassified	20260309T115405Z_evidence_upload.txt	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/20260309T115405Z_evidence_upload.txt	406	48ac074860747a8c3d52535b0fd8bd2d53e322a6238a257fddb5ab5b9aaea4c4
wrc_support_how_unclassified	OMOC__OMOC_實作+WP總表_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/OMOC__OMOC_實作+WP總表_v4.0.1-r2.md.HOW.md	19428	78cc3ee1c9f2a2affaa8cee6fbd08a44d07847859f535ef8329a211e54b4d79f
wrc_support_how_unclassified	SPINE_COMPLETION_MASTER_EVIDENCE.json	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/SPINE_COMPLETION_MASTER_EVIDENCE.json	8146	69b4b3f401141e80da8cb7e23174f9863473212c7cf6bb8ae38b5eb995674ea2
wrc_support_how_unclassified	SPINE_COMPLETION_MASTER_EVIDENCE.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/SPINE_COMPLETION_MASTER_EVIDENCE.md	13135	b21ac008f20e49de9517bf51bd0cb2c8a274abd1f4659bcd7d3bec37d1da8483
wrc_support_how_unclassified	Spartoi-OMOC_Master_Spine_Full_Monolith.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC_Master_Spine_Full_Monolith.md	177412	5c0e47ed819d12e2e120cbd2d6854f13e4f885b6e8a553d9f975a3a9c928ae70
wrc_support_how_unclassified	Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_MVP Spine_ Walking Skeleton Pack v0_最小實作包_v2.2.0-r1.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_MVP Spine_ Walking Skeleton Pack v0_最小實作包_v2.2.0-r1.md.HOW.md	13480	c2205910066e65e68e28dddf609f32f29d1222b6cc9e0d1c4fa9645559fb3edb
wrc_support_how_unclassified	Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_SubP1-LITE+MVP Spine_Walking Skeleton Pack v0_v2.1.0-r1.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP__Spartoi-OMOC_SubP1-LITE+MVP Spine_Walking Skeleton Pack v0_v2.1.0-r1.md.HOW.md	42157	20c2ba02ac7441ef0c2bb3c2d023091a12124a2d5e1776a81aac3fa75d62b7eb
wrc_support_how_unclassified	Spartoi-OMOC__Spartoi-OMOC Blueprint v2.2.0-r1.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC Blueprint v2.2.0-r1.md.HOW.md	12212	2927f6fe307e81554ec8aee85113a740bbf24ccd499cb3d904f59ae26bbe4783
wrc_support_how_unclassified	Spartoi-OMOC__Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md.HOW.md	32945	85e1366df6cf010dc715b8a4355b62518c5e0618affbbfed57bb7bcbaa830ff2
wrc_support_how_unclassified	Spartoi-OMOC__Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md.HOW.md	27815	41cdc9da57299f3942f8a348ea53de58505cfa0d13a45d21d75fe76995d016c6
wrc_support_how_unclassified	Spartoi-OMOC__Spartoi-OMOC_LBP-D(C4) v8.1.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_LBP-D(C4) v8.1.1-r2.md.HOW.md	5794	20855e31f619c73b84920d5d5d56daf13d0903d8a32feb4a17a5657ee5d11607
wrc_support_how_unclassified	authority_chain_manifest.json	/workspaces/omoc-wt-full/docs/_archive/wrc_support_how_unclassified/authority_chain_manifest.json	2976	42e50c895e8b82feca8fe85c72506112ce3d1a246be63a20415bed9daf0289a7
